Sample,HR,RR,MSE_Time,PSNR,Corr,MSE_Freq,Orig_Peak1_Freq,Orig_Peak2_Freq,Orig_Peak3_Freq,Gen_Peak1_Freq,Gen_Peak2_Freq,Gen_Peak3_Freq
1,"tf.Tensor(82.0, shape=(), dtype=float32)","tf.Tensor(20.0, shape=(), dtype=float32)",0.04702267121738369,12.453807343934063,0.015457530663540888,0.0017469076406918772,1.375,2.75,0,0,0,0
2,"tf.Tensor(62.75, shape=(), dtype=float32)","tf.Tensor(18.0, shape=(), dtype=float32)",0.023993205288360037,14.602914705395985,-0.05468099971588305,0.0071240458199058705,1.0,2.125,0,0,0,0
3,"tf.Tensor(97.5, shape=(), dtype=float32)","tf.Tensor(18.0, shape=(), dtype=float32)",0.036706128310936434,13.719563690512185,-0.07477857517670312,0.006795174044668048,1.75,0.0,0,0,0,0
4,"tf.Tensor(113.75, shape=(), dtype=float32)","tf.Tensor(18.0, shape=(), dtype=float32)",0.032492895097131484,13.886610129133752,-0.03329717610229541,0.007255188493620908,1.875,0.0,0,0,0,0
5,"tf.Tensor(74.0, shape=(), dtype=float32)","tf.Tensor(12.0, shape=(), dtype=float32)",0.02723788435637146,12.517372177095671,-0.20392630724039335,0.006154533572932002,1.25,0.0,0,0,0,0
6,"tf.Tensor(75.0, shape=(), dtype=float32)","tf.Tensor(15.0, shape=(), dtype=float32)",0.01509385241580077,14.998864136456387,0.08150829592159707,0.0037228221597933753,1.25,0.0,0,0,0,0
7,"tf.Tensor(78.25, shape=(), dtype=float32)","tf.Tensor(17.75, shape=(), dtype=float32)",0.03407979537259608,12.998704490068826,0.12383032669428466,0.0015468230334977056,1.375,0.0,0,0,0,0
8,"tf.Tensor(82.0, shape=(), dtype=float32)","tf.Tensor(20.0, shape=(), dtype=float32)",0.053388323340085676,12.003487004299007,0.18317478754042585,0.0006038948852681296,1.375,0.0,0,0,0,0
9,"tf.Tensor(74.5, shape=(), dtype=float32)","tf.Tensor(14.0, shape=(), dtype=float32)",0.06323752617376595,11.302039293060451,0.14808664992144865,0.004783557715301695,1.25,2.5,0,0,0,0
10,"tf.Tensor(80.25, shape=(), dtype=float32)","tf.Tensor(13.0, shape=(), dtype=float32)",0.011180115120785485,16.44424649690654,-0.2222580015452558,0.0016126823815561825,0.0,0.0,0,0,0,0
